1850 3938.000000 3967.000000 1946.000000 3967.000000
1800 3939.000000 3944.000000 1716.000000 3965.000000
1750 3963.000000 2941.000000 1511.000000 3574.000000
1700 3964.000000 2855.000000 1607.000000 3464.000000
1650 3486.000000 1810.000000 1300.000000 2117.000000
1625 3704.000000 1968.000000 1318.000000 2334.000000
1600 2696.000000 1549.000000 1102.000000 1673.000000
1575 2344.000000 1453.000000 1010.000000 1446.000000
1550 2070.000000 1341.000000 943.000000 1326.000000
1525 1594.000000 1204.000000 870.000000 1344.000000
1500 1330.000000 1105.000000 786.000000 1055.000000
1475 1236.000000 1066.000000 752.000000 1085.000000
1450 1182.000000 1045.000000 720.000000 1055.000000
1425 1168.000000 1046.000000 707.000000 1041.000000
